1877	315568	University of Colorado, Boulder, Department of Geological Sciences
1877	A1142	University of Colorado, Boulder, Department of Astrophysical and Planetary Sciences
1877	A1143	University of Colorado, Boulder, Laboratory for Atmospheric and Space Physics
1877	A1144	University of Colorado, Boulder, Department of Physics
	1878	University of Colorado System
1878	12226	University of Colorado, Denver
1878	14676	University of Colorado, Colorado Springs
1878	1877	University of Colorado, Boulder
	1879	National Center for Atmospheric Research
1879	A1145	National Center for Atmospheric Research, High Altitude observatory
	1888	Bowling Green State University
	1889	Western Kentucky University
	1905	University of Bradford, UK
	1912	Saint John's College, UK
	1916	Brandon University, Canada
	1938	University of Bridgeport
	1947	University of Brighton, UK
	1948	University of Sussex
1948	152136	University of Sussex, Department of Physics and Astronomy
1948	A1768	SEPnet, South-East Physics Network
	1974	University of Queensland
1974	316549	University of Queensland, School of Earth Sciences
1974	326913	University of Queensland, School of Mathematics and Physics
	1980	University of Bristol, UK
1980	152332	University of Bristol, School of Chemistry
1980	152333	University of Bristol, School of Earth Sciences
1980	152335	University of Bristol, School of Geographical Sciences
1980	152336	University of Bristol, School of Mathematics
1980	152337	University of Bristol, School of Physics
	1992	Roger Williams University
	1994	University of Technology Sydney
	2007	Yeshiva University
	2009	City University of New York
2009	14768	Manhattan Community College
2009	14771	CUNY College of Staten Island
2009	14776	Kingsborough Community College
2009	14780	New York City College of Technology
2009	14781	CUNY Queens College
2009	14782	Queensborough Community College
2009	2037	Brooklyn College
2009	5924	Hunter College
	2010	Manhattan College
	2019	South Dakota State University
	2029	Syracuse University
2029	251768	Syracuse University, Department of Physics
	2044	U.S. Air Force
2044	115768	Kirtland AFB Air Force Research Laboratory
2044	149992	Peterson AFB Air Force Research Laboratory
2044	2611	U.S. Air Force Academy, CO
2044	392352	Wright-Patterson AFB
2044	47794	Air Force Institute of Technology
2044	98976	Hanscom AFB Air Force Research Laboratory
	2045	Long Island University
	2050	Bowdoin College
	2058	Bryn Mawr College
	2059	West Virginia Wesleyan College
	2060	University of Buckingham, UK
	2071	Canisius College
	2080	La Trobe University
2080	428687	La Trobe University, Department of Physics
	2092	University of Vermont
	2104	Deakin University
	2112	Cardiff University
2112	151290	Cardiff University, School of Earth and Ocean Sciences
2112	151301	Cardiff University, School of Physics and Astronomy
2112	A1757	Cardiff University, Center for Astrobiology
	2118	College of Idaho
	2129	University of Calgary
2129	113480	University of Calgary, Department of Geoscience
2129	A1724	University of Calgary, Department of Physics and Astronomy
2129	A1725	University of Calgary, Institute for Space Research
	2152	University of Cambridge, UK
2152	151939	University of Cambridge, Center for Atmospheric Science
2152	151955	University of Cambridge, Institute of Astronomy
2152	151956	University of Cambridge, Department of Physics
2152	53257	University of Cambridge Press
2152	61434	University of Cambridge, Churchill College
2152	61461	University of Cambridge, Trinity College
2152	65899	University of Cambridge, Isaac Newton Mathematical Institute
2152	67366	University of Cambridge, Department of Earth Sciences
	2165	Schlumberger Ltd.
2165	2164	Schlumberger Cambridge Research, Ltd.
2165	318641	Schlumberger Houston, Ltd.
	2167	Massachusetts Institute of Technology
2167	117274	Haystack Observatory
2167	203287	Singapore-MIT Alliance for Research and Technology Center
2167	5763	MIT, Lincoln Laboratory
2167	A1012	MIT, Center for Space Research/Kavli Institute
2167	A1013	MIT, Department of Earth and Planetary Science
2167	A1014	MIT, Department of Physics
2167	A1803	MIT/WHOI Joint Program in Oceanography
	2214	Australian Defence Force Academy
2214	155101	UNSW@ADFA
	2219	ANU, Australian National University, Canberra
2219	111119	ANU, Research School of Physics and Engineering
2219	170547	ANU, Research School of Earth Sciences
2219	217002	ANU, Research School of Astronomy and Astrophysics
2219	310804	ANU, Mount Stromlo and Siding Spring Observatories
	2221	CSIRO, Commonwealth Scientific and Industrial Research Organization
2221	113124	CSIRO, Marine and Atmospheric Research
2221	123968	CSIRO, Australian Telescope National Facility
2221	129603	CSIRO, Division of Radiophysics
2221	206425	CSIRO, Earth Science and Resource Engineering
2221	206428	CSIRO, Astronomy and Space Science
2221	A1675	CASWR, Centre for Australian Weather and Climate Research
	2222	DSTO, Defence Science and Technology Organisation
	2234	University of Canberra
	2240	University of Kent, UK
2240	152102	University of Kent, School of Physical Sciences
2240	152138	University of Kent, Center for Astrophysics and Planetary Science
2240	A1768	SEPnet, South-East Physics Network
	2244	Lincoln University, New Zealand
	2250	Saint Lawrence University
	2251	Southeast Missouri State University
	2254	Southern Illinois University
	2272	Dickinson College
	2281	University of Melbourne
2281	A1671	University of Melbourne, Department of Physics
2281	A1672	University of Melbourne, Department of Earth Sciences
	2310	Universidad de Puerto Rico, San Juan 
2310	16146	Universidad de Puerto Rico, Mayaguez
2310	19850	Universidad de Puerto Rico, Arecibo
2310	19878	Universidad de Puerto Rico, Piedras
	2313	University of Northern Iowa
2331	A1040	Triangle Universities Nuclear Laboratory
2331	A1043	University of North Carolina, Department of Physics and Astronomy
	2332	North Carolina University System
2332	14616	University of North Carolina, Greensboro
2332	14621	University of North Carolina, Wilmington
2332	14727	University of North Carolina, Charlotte
2332	1801	Appalachian State University
2332	2331	University of North Carolina, Chapel Hill
2332	2739	Western Carolina University
2332	3189	Elizabeth City Carolina University
2332	3338	Fayetteville State University
2332	3627	Eastern Carolina University
2332	6798	North Carolina State University
2332	8620	University of North Carolina, Asheville
	2340	Citadel Military College of South Carolina
	2343	College of Charleston
	2344	Eastern Illinois University
	2348	Massachusetts General Hospital
	2358	University of Virginia
2358	A1050	University of Virginia, Department of Astronomy
2358	A1051	University of Virginia, Department of Physics
	2359	University of Prince Edward Island, Canada
	2369	Anglia Ruskin University, UK
	2376	University of Gloucestershire, UK
	2380	Eastern Washington University
	2392	Widener University
	2415	Field Museum of Natural History
